symbol,date,open,high,low,close
WIPRO,2024-08-31,240.25,265.7,235.4,263.95
WIPRO,2024-09-30,263.95,274.0,251.6,261.6
WIPRO,2024-10-31,263.75,283.75,255.1,270.35
WIPRO,2024-11-30,270.15,292.2,261.9,283.25
WIPRO,2024-12-31,285.55,313.75,283.45,288.7
WIPRO,2025-01-31,289.25,318.3,275.05,304.8
WIPRO,2025-02-28,303.0,323.6,277.0,277.65
WIPRO,2025-03-31,279.45,292.0,256.25,262.25
WIPRO,2025-04-30,260.35,265.55,228.0,242.87
WIPRO,2025-05-31,244.0,257.94,236.01,249.67
WIPRO,2025-06-30,247.6,271.4,245.73,270.05
WIPRO,2025-07-31,270.05,271.9,242.2,242.75
WIPRO,2025-08-31,242.75,257.29,238.4,249.41
WIPRO,2025-09-30,249.42,259.8,235.01,240.98
WIPRO,2025-10-31,240.0,254.07,239.11,240.67
WIPRO,2025-11-30,240.67,251.99,236.0,249.53
WIPRO,2025-12-31,250.1,261.1,248.86,259.56
